"","STU_ID","Attrition_Y_N","Grades","MAP.Score","Number_Absent","Number_Disc_Incidents","days_enrolled","weeks_enrolled","months_enrolled","years_enrolled","Miles_Distance_House_School"
"3488",4247,0,81.8,25,12,1,345,49.29,11,0.95,1.583664962
"3489",4248,0,85.6,50.75,32,1,345,49.29,11,0.95,1.647919937
"3490",4249,0,0,50.75,0,1,345,49.29,11,0.95,5.182088399
"3491",4250,0,84.1,12.25,4,1,345,49.29,11,0.95,5.065813062
"3492",4251,0,0,50.5,19,1,345,49.29,11,0.95,5.43346266
"3493",4252,0,0,86.5,3,1,345,49.29,11,0.95,11.04500094
"3494",4253,0,0,37,0,1,345,49.29,11,0.95,6.45727721
"3495",4254,1,0,37,1,1,82,11.71,3,0.22,3.413681712
"3496",4255,0,0,81.5,8,1,345,49.29,11,0.95,6.360826656
"3497",4256,0,0,8,49,1,345,49.29,11,0.95,3.311918908
"3498",4257,1,0,8,16,1,115,16.43,4,0.32,3.837368257
"3499",4258,0,0,13,36,1,345,49.29,11,0.95,3.854424498
"3500",4259,0,0,52,0,1,345,49.29,11,0.95,4.508567012
"3501",4260,0,89.25,32,9,1,345,49.29,11,0.95,1.182561261
"3502",4261,0,0,32,0,1,345,49.29,11,0.95,5.343199926
"3503",4262,0,0,32,0,1,345,49.29,11,0.95,5.343199926
"3504",4263,0,80.5,1.25,92,1,345,49.29,11,0.95,1.010719729
"3505",4264,0,88.75,47,50,1,345,49.29,11,0.95,0.753247944
"3506",4265,0,78.5833333333333,20.75,3,1,345,49.29,11,0.95,4.069307225
"3507",4266,1,75.5,3.25,0,1,75,10.71,2,0.21,1.082436951
"3508",4267,0,0,8,17,1,345,49.29,11,0.95,5.306877795
"3509",4268,0,0,8,0,1,345,49.29,11,0.95,4.003029612
"3510",4269,0,0,34.5,8,1,345,49.29,11,0.95,5.553172028
"3511",4270,0,0,36,4,1,345,49.29,11,0.95,5.182088399
"3512",4271,0,0,32.5,0,1,345,49.29,11,0.95,6.773456502
"3513",4272,0,0,55,26,1,345,49.29,11,0.95,4.972574624
"3514",4273,0,0,55,0,1,345,49.29,11,0.95,4.803027071
"3515",4274,0,0,23.5,6,1,345,49.29,11,0.95,4.541392763
"3516",4275,0,0,23.5,0,1,345,49.29,11,0.95,5.768875608
"3517",4276,0,0,30,15,1,345,49.29,11,0.95,5.752022641
"3518",4277,0,0,65,6,1,345,49.29,11,0.95,4.921489112
"3519",4278,0,80.25,29.25,89,1,355,50.71,12,0.97,3.352627091
"3520",4279,0,0,29.25,7,1,345,49.29,11,0.95,5.182088399
"3521",4280,0,0,29.25,0,1,345,49.29,11,0.95,5.43616457
"3522",4281,0,0,29.25,0,1,345,49.29,11,0.95,4.953820642
